Twitter_account,Category
@CardiffRUG,user-group		
@RLadiesMiami,user-group
@ZurichRUsers, user-group
@Rladieskampala, user-group
@_R_Foundation,non-profit
@RConsortium,non-profit
@RLadiesGlobal,non-profit
@R_Forwards,non-profit
@R4DScommunity,educational		
@tidyverse,educational
@tidyversetweets,educational
@icymi_r,posts
@Rbloggers,posts
@rstudio,org
@RStudioEDU,educational
@AfricaRUsers,non-profit
@rstatstweet,utility
@whyRconf,event
@rstudiotips,educational
@rstats4ds,educational
@Bioconductor,non-profit
@useR2020stl,event
@OURmeetup, user-group
@r_skane, user-group
